timestep,hour_baseline,ac_stable_baseline,ml_score_baseline,min_voltage_baseline,max_voltage_baseline,max_loading_baseline,total_charging_kw_baseline,avg_shading_baseline,shading_applied_baseline,hour_controlled,ac_stable_controlled,ml_score_controlled,min_voltage_controlled,max_voltage_controlled,max_loading_controlled,total_charging_kw_controlled,avg_shading_controlled,shading_applied_controlled
0,0.0,True,1.0,0.988542,0.998557,32.011432,0.0,1.0,False,0.0,True,1.0,0.988542,0.998557,32.011432,0.0,1.0,False
1,0.25,True,1.0,0.98791,0.998381,33.529644,0.0,1.0,False,0.25,True,1.0,0.98791,0.998381,33.529644,0.0,1.0,False
2,0.5,True,1.0,0.984499,0.998145,42.412237,0.0,1.0,False,0.5,True,1.0,0.984499,0.998145,42.412237,0.0,1.0,False
3,0.75,True,1.0,0.986575,0.998239,37.468127,0.0,1.0,False,0.75,True,1.0,0.986575,0.998239,37.468127,0.0,1.0,False
4,1.0,True,1.0,0.985609,0.99816,39.717567,0.0,1.0,False,1.0,True,1.0,0.985609,0.99816,39.717567,0.0,1.0,False
5,1.25,True,1.0,0.986365,0.998226,38.193524,0.0,1.0,False,1.25,True,1.0,0.986365,0.998226,38.193524,0.0,1.0,False
6,1.5,True,1.0,0.986087,0.998146,37.457424,0.0,1.0,False,1.5,True,1.0,0.986087,0.998146,37.457424,0.0,1.0,False
7,1.75,True,1.0,0.987748,0.998249,34.649508,0.0,1.0,False,1.75,True,1.0,0.987748,0.998249,34.649508,0.0,1.0,False
8,2.0,True,1.0,0.989414,0.998535,29.146495,0.0,1.0,False,2.0,True,1.0,0.989414,0.998535,29.146495,0.0,1.0,False
9,2.25,True,1.0,0.988464,0.998446,32.067916,0.0,1.0,False,2.25,True,1.0,0.988464,0.998446,32.067916,0.0,1.0,False
10,2.5,True,1.0,0.986772,0.998149,36.862539,0.0,1.0,False,2.5,True,1.0,0.986772,0.998149,36.862539,0.0,1.0,False
11,2.75,True,1.0,0.985003,0.998081,41.879587,0.0,1.0,False,2.75,True,1.0,0.985003,0.998081,41.879587,0.0,1.0,False
12,3.0,True,1.0,0.986477,0.998306,37.306909,0.0,1.0,False,3.0,True,1.0,0.986477,0.998306,37.306909,0.0,1.0,False
13,3.25,True,1.0,0.986147,0.998198,38.99522,0.0,1.0,False,3.25,True,1.0,0.986147,0.998198,38.99522,0.0,1.0,False
14,3.5,True,1.0,0.987711,0.998265,34.269738,0.0,1.0,False,3.5,True,1.0,0.987711,0.998265,34.269738,0.0,1.0,False
15,3.75,True,1.0,0.984543,0.998004,41.84925,0.0,1.0,False,3.75,True,1.0,0.984543,0.998004,41.84925,0.0,1.0,False
16,4.0,True,1.0,0.984103,0.997805,43.697479,0.0,1.0,False,4.0,True,1.0,0.984103,0.997805,43.697479,0.0,1.0,False
17,4.25,True,1.0,0.981348,0.997363,52.929998,0.0,1.0,False,4.25,True,1.0,0.981348,0.997363,52.929998,0.0,1.0,False
18,4.5,True,1.0,0.985137,0.997344,53.49289,0.0,1.0,False,4.5,True,1.0,0.985137,0.997344,53.49289,0.0,1.0,False
19,4.75,True,1.0,0.984147,0.997342,53.527216,0.0,1.0,False,4.75,True,1.0,0.984147,0.997342,53.527216,0.0,1.0,False
20,5.0,True,1.0,0.977613,0.99715,57.269312,0.0,1.0,False,5.0,True,1.0,0.977613,0.99715,57.269312,0.0,1.0,False
21,5.25,True,1.0,0.975328,0.99697,60.768161,0.0,1.0,False,5.25,True,1.0,0.975328,0.99697,60.768161,0.0,1.0,False
22,5.5,True,1.0,0.981932,0.997256,55.197237,0.0,1.0,False,5.5,True,1.0,0.981932,0.997256,55.197237,0.0,1.0,False
23,5.75,True,1.0,0.98295,0.997401,52.206232,0.0,1.0,False,5.75,True,1.0,0.98295,0.997401,52.206232,0.0,1.0,False
